TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
e_e003651,삼겹살,1,2,6629701262,대한축산,대구 북구 구리로 183-8,대구 북구 국우동 736,3145011,2723012200,2023-06-25 20:41,1,33285,캠핑고기세트 삼겹살 목살 9종 구성품 바베큐 2인분,
e_e003713,삼겹살,1,1,5248601528,네이버파이낸셜주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,,1,12800,,
e_e003714,야구티켓,1,3,,,,,,,2023-06-15 00:00,1,44000,관람권,
e_e003953,전시회 티켓,1,2,2208742885,야놀자레저,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2023-06-22 00:00,1,27000,아쿠아플라넷 63 ART입장권,
e_e003957,고속버스 티켓,1,1,1148102382,(주)한일고속,서울 서초구 신반포로 194,서울 서초구 반포동 19-4,3121017,1165010700,2023-06-26 10:19,1,15300,버스표,
e_e003957,고속버스 티켓,2,1,2198101636,(주)중앙고속,경기 화성시 풀무골로 1,경기 화성시 영천동 651-866,3210155,4159013100,2023-06-28 13:40,1,12999,버스표,
e_e004023,취식 재료,1,10,3471102219,한탄강관광지매점,경기 연천군 전곡읍 선사로 76,경기 연천군 전곡읍 전곡리 696-15,3215024,4180025321,2023-07-07 00:00,1,10400,,
e_e004023,취식 재료,2,10,1208550460,롯데마트,경기 김포시 김포한강2로 41,경기 김포시 장기동 2031,3209022,4157010400,2023-07-07 13:11,1,53780,자두;복숭아;유명산지 수박,
e_e004023,취식 재료,3,10,3471102219,한탄강관광지매점,경기 연천군 전곡읍 선사로 76,경기 연천군 전곡읍 전곡리 696-15,3215024,4180025321,2023-07-07 18:09,1,12000,,
e_e004023,취식 재료,4,10,3471102219,한탄강관광지매점,경기 연천군 전곡읍 선사로 76,경기 연천군 전곡읍 전곡리 696-15,3215024,4180025321,2023-07-07 18:08,1,20200,,
e_e004023,취식 재료,5,10,,,,,,,,1,497030,동물복지란;동원레겐스부르거;허니글로우파인애;버터오징어;국산한우등심,
e_e004215,콘서트 티켓,1,2,8248102515,(주)인터파크트리플,서울 강남구 삼성로 512,,3122005,1168010500,2023-06-22 00:00,1,332000,싸이흠뻑쇼 SUMMERSWAG2023-서울 관람권,
e_e004387,먹거리(채소 고기 등),1,2,1208800767,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-07-04 19:49,1,44890,곰곰 1+등급 무항생제 특란 포함 총 7건,
e_e004637,수영모,1,1,1208800767,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011,1171010200,2023-07-04 18:08,1,3290,아쿠윈 스판 수모,
e_e004777,고기 술 라면등,1,2,2068650913,이마트,서울 노원구 마들로3길 15,서울 노원구 월계동 333-1,4130262,1135010200,2023-07-15 10:48,1,80560,백산수;트로피칼 톡소다;종가 맛김치;스프라이트;CJ햇반,
e_e004932,참치회,0,2,,브이아이피참치도매유통 주식회사,40,,,,,5,66290,,1141010100
e_e005387,관람티켓,0,2,,스마트인퍼니,롯데월드몰 아쿠아리움 롯데타워 스카이라운지,,,,,1,78000,,1171010100
e_e005387,관람티켓,1,2,2208796800,(주)스마트인피니,서울 강남구 압구정로42길 27,서울 강남구 신사동 643-22,4166523,1168010700,2023-07-21 11:23,1,78000,[잠실]서울스카이+롯데월드아쿠아리움,
