TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
e_e000313,2305190002,2,0,,잡화;화장품,N,5,
e_e000313,2305210003,3,1,,식물원 입장,N,1,2
e_e000313,2305190004,4,0,,,,,
e_e000313,2305200005,4,0,,,,,
e_e000313,2305210002,4,0,,,,,
e_e000313,2305210003,4,0,,,,,
e_e000313,2305200009,4,1,,,,,
e_e000313,2305200010,4,1,,,,,
e_e000313,2305210001,4,1,,,,,
e_e000313,2305200003,4,2,,,,,
e_e000313,2305200009,5,0,,,,,
e_e000313,2305200010,5,0,,,,,
e_e000313,2305210001,5,0,,,,,
e_e000313,2305200003,5,1,,,,,
e_e000313,2305200004,6,2,,모임 참석,N,5,
e_e000313,2305200001,7,0,,,,,
e_e000313,2305200002,7,0,,,,,
e_e000313,2305200003,7,0,,,,,
e_e000313,2305200006,7,0,,,,,
e_e000313,2305200007,7,0,,,,,
e_e000313,2305200008,7,0,,,,,
e_e000327,2305220002,1,0,,밀크티;치즈케이크,Y,1,
e_e000327,2305220004,1,0,,짜장면,N,1,
e_e000327,2305220006,1,0,,홍시빙수,N,1,
e_e000327,2305220003,1,1,,시나몬와플,N,1,
e_e000327,2305220003,2,0,,화장품 립;아이라이너,N,1,
e_e000327,2305220005,4,0,,,,,
e_e000337,2305270003,1,0,,아이스아메리카노,Y,1,
e_e000337,2305270006,1,0,,마라탕;마라샹궈,N,1,
e_e000337,2305280003,1,0,,카페라떼,N,1,
e_e000337,2305280004,1,0,,베이글,N,1,
e_e000337,2305280006,1,0,,커피,Y,1,
e_e000337,2305280008,1,0,,닭갈비,Y,1,
e_e000337,2305280011,1,0,,곱창구이,Y,1,
e_e000337,2305290003,1,0,,아이스아메리카노;베이글,Y,1;2,
e_e000337,2305290005,1,0,,딤섬3;우육면,N,1,
e_e000337,2305270007,2,0,,티셔츠;귀걸이,N,1,
e_e000337,2305270008,2,0,,케이크,N,1,
e_e000337,2305280005,2,0,,텀블러;차량커튼,N,1,
e_e000337,2305280007,2,0,,운동복,N,1,
e_e000337,2305290004,2,0,,가방,N,1,
e_e000337,2305290006,2,0,,아이쇼핑,N,5,
e_e000337,2305290007,2,0,,향수,N,1,
e_e000337,2305270002,2,2,,물;우유;박카스,N,1,
e_e000337,2305290004,2,2,,,N,1,
e_e000337,2305290004,2,3,,티셔츠,N,1,
e_e000337,2305280009,3,0,,호크니전 관람,N,1,2
e_e000337,2305280010,3,0,,벨리곰 전시 관람,N,5,2
e_e000337,2305270003,3,1,,웹서핑;친구기다리기,N,5,
e_e000337,2305280003,3,1,,웹서핑;런던베이글웨이팅,Y,5,
e_e000337,2305280005,3,1,,구경,N,5,2
e_e000337,2305290004,4,1,,,,,
e_e000337,2305270002,5,0,,,,,
e_e000337,2305270004,5,0,,,N,5,
e_e000337,2305280001,5,0,,,,,
e_e000337,2305280002,5,0,,,N,5,
e_e000337,2305270005,5,1,,,,,
e_e000337,2305280010,5,1,,,,,
e_e000337,2305270004,6,0,,웨이팅,N,5,
e_e000337,2305280002,6,0,,웨이팅,N,5,
e_e000337,2305290002,6,0,,물품보관,N,1,
e_e000337,2305270002,6,1,,,N,5,
e_e000337,2305270003,6,1,,웹서핑;친구기다리기,N,5,
e_e000337,2305280001,6,1,,,Y,5,
e_e000337,2305280003,6,1,,웹서핑;런던베이글웨이팅,Y,5,
e_e000339,2305270004,1,0,,김치전;곰탕;반찬,N,1,
e_e000339,2305270007,1,1,,고등어 구이;갖가지 반찬들,Y,1,
e_e000339,2305280002,1,1,,불낙죽,N,1,
e_e000339,2305280006,1,1,,판나코타;카이막토스트,N,1,
e_e000339,2305280007,1,1,,리얼딸기우유,N,1,
e_e000339,2305280010,1,1,,국물떡볶이;치즈김밥;모듬튀김,N,1,
e_e000339,2305290002,1,1,,쌀떡볶이;치즈김밥,N,1,
e_e000339,2305290005,1,1,,뼈해장국,N,1,
e_e000339,2305280005,2,1,,메디픽 구강세정기 휴대용,N,1,
e_e000339,2305280009,2,1,,용기 리필용;안경닦이;알약케이스,N,1,
e_e000339,2305270003,3,0,,광릉 관람 및 산책,N,1,2
e_e000339,2305270005,3,0,,마술쇼 관람;모노레일 탑승;천문과학관 관람;조각공원 관람;천주호 관람,N,1,1
e_e000339,2305280004,3,1,,율곡이이와 신사임당에 관한 기념관;묘지;공원;조형물 감상,N,1,2
e_e000339,2305290004,3,1,,재인폭포 선녀탕 관람,N,5,2
e_e000339,2305280008,3,3,,마장호수 출렁다리 관람 및 체험;둘렛길 산책,N,5,1
e_e000339,2305290003,3,3,,망원경으로 DMZ 및 북한 지형 관람,N,5,2
e_e000339,2305270003,4,1,,,,,
e_e000339,2305270005,4,1,,,,,
e_e000339,2305270006,4,2,,,,,
e_e000339,2305280004,4,2,,,,,
e_e000339,2305280008,4,2,,,,,
e_e000339,2305290001,4,2,,,,,
e_e000339,2305290003,4,2,,,,,
e_e000339,2305290004,4,2,,,,,
e_e000339,2305270002,5,0,,,,,
e_e000339,2305270008,5,1,,,,,
e_e000339,2305280008,5,1,,,,,
e_e000339,2305280011,5,1,,,,,
e_e000339,2305290001,5,1,,,,,
e_e000339,2305290003,5,1,,,,,
e_e000339,2305290001,5,2,,,,,
e_e000339,2305270006,5,3,,,,,
e_e000339,2305280004,5,3,,,,,
e_e000339,2305280001,6,0,,전기차 충전,N,5,
e_e000339,2305280003,6,1,,병원 진료 및 처방,N,1,
e_e000339,2305290007,6,1,,전기차 충전,N,5,
e_e000339,2305270002,6,4,,전기차 충전,N,5,
e_e000339,2305290006,99,2,,,,,
e_e000391,2305290002,1,0,,칼국수,N,1,
e_e000391,2305290003,1,0,,애플주스;망고스무디;초코마들렌;당근파운드,N,1,
e_e000391,2305290004,3,0,,낚시,N,1,1
e_e000391,2305290003,5,1,,,,,
e_e000394,2305200002,1,0,,커피;도넛,Y,1,
e_e000394,2305200003,3,0,,에드워드 호퍼 전시회,Y,5,2
e_e000394,2305200004,3,0,,데이비드 호크니 전시회 관람,Y,5,2
e_e000431,2305270002,1,0,,돼지고기;소고기;술,Y,4,
e_e000431,2305290002,1,0,,냉면;돈가스,Y,1,
e_e000431,2305280002,1,1,,술;고기;밥,Y,4,
e_e000431,2305280001,4,0,,,,,
e_e000431,2305290001,4,0,,,,,
e_e000431,2305270002,4,1,,,,,
e_e000431,2305280002,5,0,,,,,
e_e000431,2305270002,5,2,,,,,
e_e000459,2305270002,1,0,,떡만두라면;돈가스;바삭어포,N,1,
e_e000459,2305270003,1,0,,복숭아아이스티;핫도그;닭꼬치,N,1,
e_e000459,2305270005,1,0,,흑당버블라떼;수박주스,N,2,
e_e000459,2305280002,1,0,,홍콩우육탕면;돼지고기마늘쫑비빔면;군만두;콜라;사이다,N,1,
e_e000459,2305280003,1,0,,아이스아메리카노;샤인머스캣그린아이스티;도넛,N,1,
e_e000459,2305290001,1,0,,냉짬뽕,N,1,
e_e000459,2305290004,1,0,,양평가마솥장터국밥,N,1,
e_e000459,2305280009,1,1,,만두;초밥,N,2,
e_e000459,2305270005,1,2,,컵라면,N,2,
e_e000459,2305280004,2,0,,바다새우키우기;귀차니즘안경,N,1,
e_e000459,2305280008,2,0,,만두,N,1,
e_e000459,2305280004,2,1,,교보문고 책 구경;핫트랙스 앨범;문구류 구경,N,5,
e_e000459,2305290003,2,1,,옷;가방 구경,N,1,
