COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
3,e_e003750,7,2,4,1
7,e_e003750,11,2,1,2
2,e_e003750,7,2,4,1
6,e_e003750,11,2,1,2
4,e_e003750,9,1,4,2
2,e_e003869,2,2,3,1
1,e_e003869,1,2,6,1
1,e_e003872,1,2,6,1
1,e_e003875,2,2,4,1
1,e_e003876,5,2,6,3
1,e_e003884,8,1,3,1
1,e_e003910,1,1,4,1
2,e_e003921,2,1,2,1
1,e_e003921,1,2,4,1
3,e_e003921,2,2,2,1
1,e_e003938,1,1,4,1
1,e_e003948,8,1,3,1
2,e_e003952,2,2,1,1
1,e_e003952,1,1,3,1
1,e_e003953,3,2,6,1
1,e_e003957,5,1,3,3
2,e_e003957,7,2,4,3
1,e_e004018,8,2,3,1
1,e_e004023,1,1,6,1
3,e_e004023,3,2,8,1
5,e_e004023,5,1,5,1
7,e_e004023,5,2,5,1
9,e_e004023,6,2,1,1
2,e_e004023,3,1,8,1
4,e_e004023,5,1,5,1
6,e_e004023,5,2,5,1
8,e_e004023,6,2,2,1
1,e_e004118,8,2,3,1
5,e_e004140,3,2,7,3
2,e_e004140,2,1,1,1
4,e_e004140,3,1,7,3
6,e_e004140,5,1,4,3
1,e_e004140,1,2,4,1
3,e_e004140,2,2,1,1
1,e_e004215,7,2,4,3
1,e_e004233,6,2,6,1
1,e_e004320,5,2,4,1
1,e_e004379,8,2,3,1
1,e_e004387,8,1,3,1
1,e_e004481,8,2,3,1
1,e_e004500,1,2,4,1
2,e_e004603,2,2,1,1
1,e_e004603,1,1,5,1
1,e_e004637,2,2,1,1
2,e_e004637,5,2,4,1
1,e_e004649,8,2,3,1
1,e_e004777,8,1,3,1
2,e_e004820,2,2,2,1
1,e_e004820,1,2,5,1
3,e_e004820,2,2,1,1
2,e_e004926,2,1,1,1
1,e_e004926,1,1,4,1
1,e_e004932,8,1,4,1
1,e_e005259,8,1,4,1
1,e_e005289,8,1,4,3
2,e_e005336,2,2,2,1
1,e_e005336,2,2,2,1
2,e_e005387,7,2,4,1
1,e_e005387,2,1,1,1
3,e_e005387,11,1,1,1
1,e_e005451,7,2,3,1
2,e_e005463,2,2,1,1
4,e_e005463,5,2,5,1
6,e_e005463,6,1,2,1
1,e_e005463,1,2,4,1
3,e_e005463,2,1,1,1
5,e_e005463,6,1,5,1
1,e_e005467,8,1,3,1
1,e_e005525,8,1,4,1
1,e_e005549,1,1,5,1
2,e_e005558,2,1,2,1
1,e_e005558,1,1,4,1
1,e_e005634,8,1,4,1
1,e_e005756,1,1,4,1
1,e_e005777,7,2,3,1
1,e_e005841,8,1,4,1
2,e_e005887,3,2,6,1
4,e_e005887,5,1,2,1
1,e_e005887,3,1,6,1
3,e_e005887,5,2,3,1
1,e_e005905,1,2,4,1
3,e_e005905,3,2,8,1
2,e_e005905,3,1,8,1
1,e_e005925,7,1,3,2
2,e_e005925,7,1,3,1
1,e_e005949,1,1,5,1
3,e_e005949,2,2,1,1
2,e_e005949,2,1,1,1
2,e_e006013,2,2,1,1
1,e_e006013,1,2,4,1
1,e_e006146,8,2,3,1
1,e_e006149,1,1,4,1
1,e_e006418,1,1,4,1
2,e_e006418,2,2,1,1
1,e_e006441,2,2,3,1
2,e_e006485,2,2,1,1
1,e_e006485,1,1,4,1
1,e_e006538,3,2,6,1
1,e_e006568,8,2,3,3
2,e_e006784,2,2,5,1
1,e_e006784,1,1,5,1
1,e_e006832,2,1,1,1
1,e_e006838,1,1,4,1
2,e_e006878,2,2,1,1
1,e_e006878,1,1,4,1
3,e_e006878,2,2,1,1
1,e_e007157,3,2,6,1
2,e_e007157,5,2,4,3
1,e_e007171,8,1,3,1
1,e_e007177,1,1,4,1
3,e_e007177,2,1,1,1
2,e_e007177,2,2,1,1
