TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e002010,11,남,20,4,1,1,1,12,,1,,3,3,50,50110,42,42830,42,42150,2,2,2,5,6,2,5,5,서울특별시,경기,2인 여행(가족 외),2023-06-04~2023-06-05,6,2,7,1
e007888,28,남,30,6,1,1,1,2,,5,,3,10,44,44180,42,42150,50,50130,6,4,2,4,2,4,2,5,인천광역시,서울,2인 여행(가족 외),2023-08-20~2023-08-20,5,7,1,1
e005289,41,여,20,7,1,1,4,13,,4,6,3,4,46,46130,26,26350,11,11110,5,2,4,3,2,2,5,4,경기도,서울,2인 여행(가족 외),2023-07-15~2023-07-16,1,9,2,1
e003738,11,여,20,6,1,1,5,3,,4,12,3,2,26,26350,42,42210,41,41830,3,3,1,3,3,3,1,4,서울특별시,경기,나홀로 여행,2023-06-24~2023-06-24,1,7,6,0
e003644,11,여,30,6,5,2,3,11,,1,7,2,2,41,41450,42,42210,41,41830,3,3,3,4,4,4,5,4,서울특별시,경기,자녀 동반 여행,2023-06-28~2023-06-29,1,3,2,2
e010214,11,여,20,6,2,1,1,12,,1,,2,2,11,11680,11,11170,31,31710,2,7,1,1,1,3,7,2,서울특별시,경기,나홀로 여행,2023-08-23~2023-08-23,1,2,7,0
e007993,41,여,20,6,1,1,1,2,,4,,3,1,46,46710,42,42150,26,26350,2,2,4,3,2,2,3,2,경기도,서울,나홀로 여행,2023-08-23~2023-08-23,1,2,4,0
e006568,41,남,20,6,1,1,1,3,,6,,4,3,42,42150,50,50130,26,26350,3,2,2,5,6,2,3,5,경기도,경기,2인 여행(가족 외),2023-08-09~2023-08-09,3,2,1,1
e000471,11,남,40,7,5,1,2,2,,9,9,2,10,50,50130,46,46150,28,28110,5,1,1,3,6,1,7,6,서울특별시,인천,2인 여행(가족 외),2023-05-29~2023-05-30,2,3,1,1
e005342,30,여,30,5,3,1,1,3,,7,,2,2,47,47130,11,11170,42,42150,4,1,1,1,4,4,7,7,서울특별시,경기,나홀로 여행,2023-07-22~2023-07-24,2,1,4,0
e002360,28,여,30,6,1,2,2,2,,4,6,2,3,11,11560,26,26350,46,46230,6,4,1,4,4,3,2,4,인천광역시,경기,3인 이상 여행(가족 외),2023-06-03~2023-06-03,1,7,3,5
e000431,41,여,50,6,1,2,3,3,,5,9,2,2,42,42150,41,41820,43,43800,3,2,4,4,6,4,3,5,경기도,경기,3인 이상 여행(가족 외),2023-05-27~2023-05-29,1,2,3,5
e002443,11,남,20,4,1,1,1,3,,4,,2,1,50,50130,42,42190,47,47940,3,3,2,2,3,2,5,5,서울특별시,경기,2인 여행(가족 외),2023-06-04~2023-06-04,7,2,1,1
e003359,41,남,20,6,1,1,4,3,,3,4,2,1,42,42150,47,47130,11,11680,3,4,3,3,2,6,3,2,경기도,경기,2인 여행(가족 외),2023-06-17~2023-06-17,1,3,7,1
e000920,11,남,30,6,1,1,1,3,,5,,2,1,28,28720,50,50110,26,26710,2,6,2,2,2,6,6,7,서울특별시,인천,2인 여행(가족 외),2023-06-02~2023-06-04,3,5,6,1
e002664,41,남,40,6,4,2,3,2,,5,10,2,2,30,30200,41,41590,42,42150,4,2,3,4,3,3,6,4,경기도,경기,3인 이상 여행(가족 외),2023-07-01~2023-07-02,3,2,1,2
e002191,41,여,30,7,5,2,3,3,,4,7,2,1,42,42150,42,42210,26,26350,1,7,1,4,6,1,7,2,경기도,경기,자녀 동반 여행,2023-06-03~2023-06-03,1,3,7,1
e000963,28,남,50,5,1,2,5,1,,5,9,2,1,41,41270,42,42230,44,44710,3,2,4,3,2,4,3,4,인천광역시,경기,3인 이상 여행(가족 외),2023-05-27~2023-05-28,3,2,5,9
e007363,28,여,20,5,2,1,4,12,,2,9,3,3,28,28237,41,41190,28,28260,2,2,1,6,6,4,1,7,인천광역시,경기,2인 여행(가족 외),2023-08-23~2023-08-23,3,1,7,1
e003953,28,남,30,5,1,1,3,3,,4,7,3,5,26,26500,42,42210,42,42150,4,2,2,4,2,6,4,5,인천광역시,서울,2인 가족 여행,2023-06-24~2023-06-24,1,7,2,1
e000297,45,여,30,6,1,1,3,13,,4,8,2,1,11,11110,44,44180,46,46130,7,1,1,4,1,6,7,7,전라북도,서울,나홀로 여행,2023-05-20~2023-05-21,1,7,2,0
e002335,41,여,60,6,1,2,4,3,,1,10,2,1,50,50130,42,42230,43,43800,1,7,3,2,2,4,2,4,경기도,경기,자녀 동반 여행,2023-06-04~2023-06-04,8,3,2,2
e003592,11,남,30,4,1,1,1,13,,5,,2,1,42,42210,42,42820,41,41820,5,6,5,4,5,4,6,4,서울특별시,경기,2인 여행(가족 외),2023-06-25~2023-06-26,3,1,5,1
e007795,11,남,30,7,1,2,4,3,,12,12,1,1,41,41820,42,42760,41,41800,1,7,4,7,7,4,1,1,서울특별시,경기,자녀 동반 여행,2023-08-27~2023-08-27,7,3,6,3
e005467,41,여,20,6,1,1,3,3,,5,7,2,2,41,41110,11,11710,11,11170,4,6,2,3,4,5,3,7,경기도,서울,2인 여행(가족 외),2023-07-22~2023-07-22,1,10,3,1
